순위,영화명,t변동폭
 1,아바타: 물의 길, 0
 2,영웅, 0
 3,올빼미, 0
 4,젠틀맨, 0
 5,오늘 밤, 세계에서 이 사랑이 사라진다 해도, 0
 6,나이브스 아웃: 글래스 어니언,+1
 7,압꾸정,+1
 8,탄생,-2
 9,더 퍼스트 슬램덩크, 0
 10,스위치, 0
 11,크리스마스 캐럴, 0
 12,아바타 리마스터링,+1
 13,팬픽에서 연애까지,-1
 14,장화신은 고양이: 끝내주는 모험,+1
 15,강남좀비,+5
 16,눈의 여왕5: 스노우 프린세스와 미러랜드의 비밀,-2
 17,3000년의 기다림,+6
 18,원피스 필름 레드,-1
 19,가가린,-2
 20,본즈 앤 올,+7
 21,데시벨,-3
 22,유포자들, 0
 23,교섭,+3
 24,신비아파트 극장판 차원도깨비와 7개의 세계, 0
 25,요정,-3
 26,유령,+1
 27,탑건: 매버릭,-2
 28,헤어질 결심,+3
 29,크레이지 컴페티션,+7
 30,에브리씽 에브리웨어 올 앳 원스,+1
 31,더 메뉴,-12
 32,아바타,-2
 33,메모리아,+6
 34,극장판 뽀로로와 친구들: 바이러스를 없애줘!,-1
 35,코르사주, 0
 36,부기나이트,+7
 37,스트레인지 월드,+3
 38,핑크퐁 시네마 콘서트 2: 원더스타 콘서트 대작전,-4
 39,자백,+1
 40,프레이 포 더 데블,-7
 41,드라이브 마이 카,-4
 42,몬스터 신부: 101번째 프로포즈,+4
 43,클라우스,-2
 44,패닉 런,+6
 45,공조2: 인터내셔날,-2
 46,동감,-1
 47,오펜하이머,+3
 48,블랙 팬서: 와칸다 포에버,+3
 49,한산: 용의 출현,+6
 50,극장판 짱구는 못말려: 수수께끼! 꽃피는 천하떡잎학교,-3
